id ;codigo ;cantidad;precio_venta;modelo_vehiculo;id_categoria;id_marca;medida;biscosidad;nombre
1;C-171;1;6.23;;1;2;;;
2;O-106;6;5.95;;1;2;;;
3;601033259;1;4.69;;1;3;;;
4;WL7295;4;6.99;;1;4;;;
5;57341;1;4.11;;1;4;;;
6;PH3614JP;11;5.95;;1;5;;;
7;0601028669K;37;10.95;;1;6;;;
8;CHVFAC0001;17;5.95;;1;7;;;
9;L4;8;5.25;;1;7;;;
10;PH2825-JP;4;5.25;;1;7;;;
11;L266;9;5.65;;1;7;;;
12;L365;1;5.95;;1;7;;;
13;PH3593A-JP;14;7.95;;1;7;;;
14;L410;1;8.88;;1;7;;;
15;MZFAC0001;5;10.87;;1;7;;;
16;JPFAC0003;4;11.53;;1;9;;;
17;51348;8;6.95;;1;4;;;
18;NSFCA0025;5;28.19;;2;7;;;
19;609015089;1;8;;2;4;;;
20;24685;1;7.09;;2;10;;;
21;CF10728;1;0;;2;11;;;
22;WP10106;0;10.86;;2;12;;;
23;24815;1;0;;2;13;;;
24;24684;1;8.69;;2;13;;;
25;K1336-2X;1;0;;2;13;;;
26;NSFCA0014;6;10.36;;2;14;;;
27;NSFCA0017;4;9.82;;2;15;;;
28;KIFCA0006;4;9.34;;2;7;;;
29;HYFCA0014;6;9.82;;2;7;;;
30;NSFCA0006;7;9.61;;2;7;;;
31;NSFA0007;5;15.99;;2;7;;;
32;MZFCA0011;4;12.85;;2;7;;;
33;MBFCA0009;0;12.95;;2;7;;;
34;NSFCA0005;2;10.53;;2;7;;;
35;TYFCA0003;2;12.74;;2;7;;;
36;CHVFCA0008;9;12.95;;2;7;;;
37;NSFCA0026;2;9.65;;2;7;;;
38;HYFCA0022;5;10.98;;2;7;;;
39;FDFCA0007;1;19.33;;2;7;;;
40;HYFCA0004;8;9.36;;2;7;;;
41;JPFCA0003;3;14.81;;2;16;;;
42;TA39166;6;16.78;;3;17;;;
43;24512521;4;12.32;;3;18;;;
44;68247339AA;1;20.87;;3;19;;;
45;AIF79598;1;20.87;;3;19;;;
46;WA10096;0;16.23;;3;13;;;
47;HYFAI0022;0;7.95;;3;7;;;
48;JPFAI0004;6;22.94;;3;20;;;
49;FDFAI0020;5;13.63;;3;7;;;
50;                CHVFAI0005;0;9.98;;3;7;;;
51;CHVFAI0019;6;8.52;;3;7;;;
52;NSFAI0037;6;8.89;;3;7;;;
53;KIFAI0003;5;8.59;;3;7;;;
54;NSFAI0044;13;9.85;;3;7;;;
55;NSFAI0036;2;12.99;;3;7;;;
56;TYFA10070;4;11.38;;3;7;;;
57;NSFA10006;5;8.45;;3;7;;;
58;KIFAI0014;8;14.92;;3;7;;;
59;MBFAI0020;3;19.95;;3;7;;;
60;KIFAI0016;12;15.36;;3;7;;;
61;TYFAI0020;13;8.67;;3;7;;;
62;TA39166;22;12.36;;3;7;;;
63;FDFAI0026;4;8.64;;3;7;;;
64;HYFAI0046;8;9.95;;3;7;;;
65;MZFAI0025;4;19.66;;3;7;;;
66;HYFAI0057;4;16.65;;3;19;;;
67;95238310;9;9.95;;3;22;;;
68;NSFAI0013;4;9.95;;3;7;;;
69;HDFAI0059;5;37.75;;3;7;;;
70;HYFAI0041;5;10.5;;3;7;;;
71;JPFAI0005;0;19.44;;3;7;;;
72;JPFAI0003;5;20.79;;3;7;;;
73;;8;9.95;;4;1;;;LIMPIADOR DE CUERPO DE ACELERACION Y CARBURADOR PRESTONE
74;;16;9.95;;4;1;;;BRAKLEEN LIMPIADOR DE FRENOS
75;;5;7.95;;4;1;;;LIMPIADOR DE CONTACTOS ECOM
76;;0;10.95;;4;1;;;SOLUCION PARA FRENOS WAGNER DOT3
77;;9;16.95;;4;1;;;SOLUCION PARA FRENOS ATE ALEMANA DT4
78;;10;4.24;;4;1;;;SOLUCION DE FRENOS DOT 3 UNIX   (UNI-DOT3P)
79;;24;9.5;;4;1;;;SOLUCION DE FRENOS DOT 3 
80;;0;16.95;;5;1;;;REFRIGERANTE VERDE  33%
81;;0;18.95;;5;1;;;REFRIGERANTE AZUL  33%
82;;6;26.95;;5;1;;;REFRIGERANTE ROSADO 50/50
83;;4;33.9;;5;1;;;PURPURA (DIESEL)
84;;15;8.95;;5;1;;;BUG WASH /LIMPIA PARABRISAS
85;KIPFR0022C;2;39.95;;6;23;;;PASTILLAS DELANTERAS
86;SP1836;7;29.95;;6;24;;;PASTILLAS DELANTERAS 
87;MGD1377CH;1;56.73;;6;25;;;PASTILLAS TRASERAS
88;FMSI. 917-KS;1;24.95;;6;26;;;ZAPATAS TRASERAS
89;HYZAP0007;4;49.36;;6;23;;;ZAPATAS TRASERAS
90;1621-S917S;1;0;;6;27;;;ZAPATAS DE FRENO 
91;1689-S1020S;2;0;;6;27;;;ZAPATAS DE FRENO
92;1708-S1046S;3;0;;6;27;;;ZAPATAS DE FRENO
93;7741-D866S;9;0;;6;27;;;PASTILLAS DE FRENO DEL
94;8301-D1184S;3;0;;6;27;;;PASTILLAS DE FRENO DEL
95;8330-D1210S;3;0;;6;27;;;PASTILLAS DE FRENO DEL
96;8405-D1415S  ;4;0;;6;27;;;PASTILLAS DE FRENO TRAS
97;8428-D1313S;5;0;;6;27;;;PASTILLAS DE FRENO TRAS
98;8449-D1338S;3;0;;6;27;;;PASTILLAS DE FRENO DEL
99;8449-D1737S;3;0;NISSAN ROGUE;6;27;;;PASTILLA DE FRENO DEL
100;8463-D1354S;3;0;;6;27;;;PASTILLAS DE FRENO TRAS
101;8804-D1592S;5;0;;6;27;;;PASTILLAS DE FRENO DEL
102;8806-D1593S;2;0;;6;27;;;PASTILLAS DE FRENO DEL 
103;8908-D1679S;4;0;;6;27;;;PASTILLAS DE FRENO TRAS 
104;8956-D1731S;6;0;;6;27;;;PASTILLAS DE FRENO DEL 
105;9372-D21355;3;0;;6;27;;;PASTILLAS DE FRENO TRAS
106;7947-D1044S;5;0;;6;27;;;PASTILLAS DE FRENO DEL
107;7874-D1095S;5;0;;6;27;;;PASTILLAS DE FRENO TRAS 
108;;4;11.68;;7;30;;;LIMPIA PARABRISAS
109;;4;12.95;;7;31;;;LIMPIA PARABRISAS
110;;7;13.95;;7;32;;;LIMPIA PARABRISAS
111;;9;15.95;;7;33;;;LIMPIA PARABRISAS
112;;6;18.95;;7;34;;;LIMPIA PARABRISAS
113;;0;17.95;;7;35;;;LIMPIA PARABRISAS
114;;1;29.95;;7;36;;;LIMPIA PARABRISAS
115;;4;7.95;;7;37;;;LIMPIA PARABRISAS
116;;0;8.95;;7;38;;;LIMPIA PARABRISAS
117;;11;9.95;;7;39;;;LIMPIA PARABRISAS
118;;9;10.95;;7;40;;;LIMPIA PARABRISAS
119;;0;11.95;;7;41;;;LIMPIA PARABRISAS
120;;4;12.95;;7;42;;;LIMPIA PARABRISAS
121;;4;14.95;;7;43;;;LIMPIA PARABRISAS
122;;2;19.95;;7;44;;;LIMPIA PARABRISAS
123;;2;24.95;;7;45;;;LIMPIA PARABRISAS
124;MAG00809;0;5.99;;8;46;PINTA;;
125;MAG00809;4;11.3;;8;46;CUARTO;;
126;UNI-801;4;11.98;;9;47;CUARTO;SAE 0W-20 FULL SINTETICO;
127;UNI-061;3;12.32;;9;47;CUARTO;SAE 5W-30 FULL SINTETICO;
128;UNI-531;9;12.32;;9;47;CUARTO;SAE 10W- 30 FULL SINTETICO;
129;UNI-621;0;8.32;;9;47;CUARTO;SAE 10W-30  SEMI SINTETICO;
130;UNI-O21;0;8.99;;9;47;CUARTO;SAE 20W- 50 MINERAL;
131;MAG 871;1;8.48;;9;46;CUARTO;SAE 25W-60;
132;  532-5Q;14;45.99;;9;47;PACHON;SAE 10W-30 FULL SINTETICO;
133;HYU-1092;1;59.36;;9;48;PACHON;HD ULTRA 15W40 MOTOR DIESEL ;
134;;2;0;;9;47;PACHON;SAE 20W-50;
135;MAG- 922;3;55.57;;9;46;PACHON;SAE 5W-30 FULL SINTETICO EUROPEO;
136;ICAUMOT136;14;15.95;;9;50;CUARTO;5W30 FULL SINTETICO;
137;ICAUMOT139;0;14.95;;9;50;CUARTO ;10W30 FULL SINTETICO;
138;ICAUMOT225;9;69.75;;9;50;PACHON;10W30 FULL SINTETICO;
139;ICAUMOT224;4;70.75;;9;50;PACHON ;5W30 FULL SINTETICO;
140;UNI-681;9;13.45;;10;47;1 QT.;CVT;
141;UNI-891;1;14.25;;10;47;1QT.;LV;
142;UNI-881;6;13;;10;52;1QT.;HV;
143;ASN-1061;10;24.95;;10;53;1QT.;CVT JAPONES;
144;E113653;3;0;;10;54;1QT.;ATF 6700 FULL SINTETICO;
145;;1;0;;10;54;1QT;ATF 1000;
146;20-4728-0003;7;18.95;;10;55;1QT.;ATF1 EUROPEO;
147;UNI-071;11;14.92;;10;47;1QT.;SAE 80W90 ESTÁNDAR;
148;MAG-081;6;13.9;;10;56;1QT.;SAE 85W-140 TRANSFER ;
149;CIT-781;12;0;;10;57;1QT.;SAE  75W-90 TRANSFER FULL SINTETICO;
150;NS-3;0;0;;10;58;1QT.;CVTF;
151;VAICO;0;0;;10;59;1 QT.;ATF VI;
